Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
2020-02-09 07:00:00.000,0.02256600,0.02260300,0.02229700,0.02251500,79632.21900000,2020-02-09 18:59:59.999,1789.25332239,81727,41474.31900000,931.97300239
2020-02-09 19:00:00.000,0.02251300,0.02253000,0.02206300,0.02225600,111161.67000000,2020-02-10 06:59:59.999,2483.35772388,99657,54077.57000000,1208.41987681
2020-02-10 07:00:00.000,0.02226100,0.02281200,0.02221300,0.02262500,106925.68300000,2020-02-10 18:59:59.999,2411.71847753,95116,55283.92800000,1246.55507865
2020-02-10 19:00:00.000,0.02262600,0.02272100,0.02241200,0.02271200,68029.90200000,2020-02-11 06:59:59.999,1533.18637749,73980,31840.06900000,717.72028658
2020-02-11 07:00:00.000,0.02271200,0.02329900,0.02235200,0.02315300,180803.70100000,2020-02-11 18:59:59.999,4134.48149445,140311,87620.35000000,2004.41939832
2020-02-11 19:00:00.000,0.02315400,0.02487100,0.02314300,0.02471900,188953.56300000,2020-02-12 06:59:59.999,4567.34423104,152085,98878.12000000,2389.42245122
2020-02-12 07:00:00.000,0.02471900,0.02650000,0.02450100,0.02573300,236029.08000000,2020-02-12 18:59:59.999,6014.07125091,189891,119630.06600000,3048.76905061
2020-02-12 19:00:00.000,0.02573200,0.02639300,0.02513000,0.02588200,216639.75900000,2020-02-13 06:59:59.999,5598.59033161,168597,110208.82400000,2849.34689953
2020-02-13 07:00:00.000,0.02588400,0.02684900,0.02576500,0.02623100,172881.47700000,2020-02-13 18:59:59.999,4535.17798109,144298,85971.80600000,2255.06662794
2020-02-13 19:00:00.000,0.02623100,0.02660100,0.02574400,0.02637400,129974.19100000,2020-02-14 06:59:59.999,3399.79948864,101629,60707.72800000,1587.14610427
2020-02-14 07:00:00.000,0.02638600,0.02774300,0.02627500,0.02757200,184212.41300000,2020-02-14 18:59:59.999,4985.14341185,143098,91103.54500000,2466.18488964
2020-02-14 19:00:00.000,0.02757200,0.02784400,0.02717800,0.02752200,166488.53500000,2020-02-15 06:59:59.999,4576.03094222,121827,84028.68600000,2309.38819690
2020-02-15 07:00:00.000,0.02752200,0.02770200,0.02658500,0.02674300,229361.37700000,2020-02-15 18:59:59.999,6229.91110736,191441,109649.06200000,2978.44632675
2020-02-15 19:00:00.000,0.02674200,0.02739000,0.02617700,0.02680100,111620.30900000,2020-02-16 06:59:59.999,3012.79433006,123872,55795.26700000,1507.03960805
2020-02-16 07:00:00.000,0.02680100,0.02694500,0.02455000,0.02610500,255395.83500000,2020-02-16 18:59:59.999,6613.76798098,206022,115421.52500000,2990.73395705
2020-02-16 19:00:00.000,0.02611000,0.02628100,0.02488000,0.02583200,179791.93100000,2020-02-17 06:59:59.999,4595.72234744,140292,87626.98500000,2240.01834441
2020-02-17 07:00:00.000,0.02583600,0.02765800,0.02562600,0.02760000,166858.20200000,2020-02-17 18:59:59.999,4437.37318909,142883,84747.73800000,2255.04005282
2020-02-17 19:00:00.000,0.02760000,0.02788500,0.02710300,0.02756900,154984.82000000,2020-02-18 06:59:59.999,4262.08214277,120896,80043.95600000,2201.47253868
2020-02-18 07:00:00.000,0.02757000,0.02850000,0.02695300,0.02780000,206842.78000000,2020-02-18 18:59:59.999,5764.83357652,152395,103515.30100000,2885.65414714
2020-02-18 19:00:00.000,0.02780000,0.02784800,0.02737400,0.02773200,93469.64000000,2020-02-19 06:35:32.175,2581.59548679,83765,46937.97900000,1296.52792077
2020-02-19 07:00:00.000,0.02772000,0.02811200,0.02667800,0.02693600,132737.33300000,2020-02-19 18:59:59.999,3612.44195086,114541,68772.86600000,1872.72493060
2020-02-19 19:00:00.000,0.02693700,0.02741200,0.02636600,0.02649500,113053.26400000,2020-02-20 06:59:59.999,3056.62381673,100693,58964.31200000,1594.57968005
2020-02-20 07:00:00.000,0.02649100,0.02716400,0.02591500,0.02677900,151404.64300000,2020-02-20 18:59:59.999,4027.32012282,138050,72142.10400000,1919.74076348
2020-02-20 19:00:00.000,0.02678100,0.02711800,0.02650200,0.02700800,86760.57200000,2020-02-21 06:59:59.999,2335.06549804,78956,43925.56200000,1182.32686781
2020-02-21 07:00:00.000,0.02700800,0.02754900,0.02700800,0.02740500,91570.36500000,2020-02-21 18:59:59.999,2497.99414028,81981,42469.90300000,1158.46196688
2020-02-21 19:00:00.000,0.02740800,0.02749500,0.02677500,0.02717900,60837.14300000,2020-02-22 06:59:59.999,1647.63747486,54090,30360.79800000,822.32931186
2020-02-22 07:00:00.000,0.02717400,0.02734400,0.02690500,0.02710100,54027.54000000,2020-02-22 18:59:59.999,1464.90767327,51025,28998.40300000,786.18821683
2020-02-22 19:00:00.000,0.02709600,0.02765100,0.02700300,0.02729200,83970.58100000,2020-02-23 06:59:59.999,2295.89218602,57491,36516.78000000,998.36242581
