id,price,qty,quoteQty,time,isBuyerMaker,isBestMatch
91527934,0.00251490,1.91000000,0.00480345,2020-10-11 13:42:19.213,False,True
91527935,0.00251500,2.16000000,0.00543240,2020-10-11 13:42:19.213,False,True
91527936,0.00251530,0.28000000,0.00070428,2020-10-11 13:42:20.092,False,True
91527937,0.00251520,14.17000000,0.03564038,2020-10-11 13:42:20.390,True,True
91527938,0.00251530,0.69000000,0.00173555,2020-10-11 13:42:22.071,False,True
91527939,0.00251530,2.47000000,0.00621279,2020-10-11 13:42:22.071,False,True
91527940,0.00251530,0.41000000,0.00103127,2020-10-11 13:42:22.071,False,True
91527941,0.00251530,0.06000000,0.00015091,2020-10-11 13:42:22.071,False,True
91527942,0.00251530,1.34000000,0.00337050,2020-10-11 13:42:22.071,False,True
91527943,0.00251520,1.16000000,0.00291763,2020-10-11 13:42:22.177,True,True
91527944,0.00251520,0.06000000,0.00015091,2020-10-11 13:42:22.451,True,True
91527945,0.00251530,0.82000000,0.00206254,2020-10-11 13:42:22.719,False,True
91527946,0.00251530,1.01000000,0.00254045,2020-10-11 13:42:27.179,True,True
91527947,0.00251520,1.56000000,0.00392371,2020-10-11 13:42:27.179,True,True
91527948,0.00251540,2.08000000,0.00523203,2020-10-11 13:42:30.153,False,True
91527949,0.00251540,1.41000000,0.00354671,2020-10-11 13:42:30.153,False,True
91527950,0.00251540,0.11000000,0.00027669,2020-10-11 13:42:30.153,False,True
91527951,0.00251540,6.40000000,0.01609856,2020-10-11 13:42:30.153,False,True
91527952,0.00251530,1.02000000,0.00256560,2020-10-11 13:42:32.176,True,True
91527953,0.00251520,1.95000000,0.00490464,2020-10-11 13:42:32.176,True,True
91527954,0.00251520,1.37000000,0.00344582,2020-10-11 13:42:37.177,True,True
91527955,0.00251540,9.60000000,0.02414784,2020-10-11 13:42:39.537,False,True
91527956,0.00251550,1.00000000,0.00251550,2020-10-11 13:42:41.941,False,True
91527957,0.00251540,0.40000000,0.00100616,2020-10-11 13:42:44.812,True,True
91527958,0.00251540,28.17000000,0.07085881,2020-10-11 13:42:44.812,True,True
91527959,0.00251500,0.06000000,0.00015090,2020-10-11 13:42:44.812,True,True
91527960,0.00251490,1.90000000,0.00477831,2020-10-11 13:42:44.812,True,True
91527961,0.00251450,14.50000000,0.03646025,2020-10-11 13:42:44.812,True,True
91527962,0.00251460,0.21000000,0.00052806,2020-10-11 13:42:45.293,True,True
91527963,0.00251460,1.09000000,0.00274091,2020-10-11 13:42:53.476,True,True
91527964,0.00251450,39.00000000,0.09806550,2020-10-11 13:42:53.476,True,True
91527965,0.00251450,0.35000000,0.00088007,2020-10-11 13:42:56.761,True,True
91527966,0.00251460,7.81000000,0.01963902,2020-10-11 13:43:15.287,True,True
91527967,0.00251480,0.04000000,0.00010059,2020-10-11 13:43:21.222,False,True
91527968,0.00251480,0.96000000,0.00241420,2020-10-11 13:43:22.174,False,True
91527969,0.00251480,1.75000000,0.00440090,2020-10-11 13:43:22.183,True,True
91527970,0.00251500,2.32000000,0.00583480,2020-10-11 13:43:24.436,True,True
91527971,0.00251490,13.00000000,0.03269370,2020-10-11 13:43:24.436,True,True
91527972,0.00251490,13.00000000,0.03269370,2020-10-11 13:43:24.578,True,True
91527973,0.00251490,13.91000000,0.03498225,2020-10-11 13:43:24.633,False,True
91527974,0.00251500,0.91000000,0.00228865,2020-10-11 13:43:24.633,False,True
91527975,0.00251500,1.67000000,0.00420005,2020-10-11 13:43:30.784,False,True
91527976,0.00251510,0.04000000,0.00010060,2020-10-11 13:43:31.380,False,True
91527977,0.00251500,1.48000000,0.00372220,2020-10-11 13:43:42.186,True,True
91527978,0.00251520,0.95000000,0.00238944,2020-10-11 13:43:45.080,False,True
91527979,0.00251530,1.05000000,0.00264106,2020-10-11 13:43:45.080,False,True
91527980,0.00251500,0.10000000,0.00025150,2020-10-11 13:43:47.191,True,True
91527981,0.00251480,2.74000000,0.00689055,2020-10-11 13:43:47.191,True,True
91527982,0.00251520,4.28000000,0.01076505,2020-10-11 13:43:47.834,False,True
91527983,0.00251520,3.21000000,0.00807379,2020-10-11 13:43:47.834,False,True
91527984,0.00251520,1.07000000,0.00269126,2020-10-11 13:43:47.834,False,True
91527985,0.00251520,2.14000000,0.00538252,2020-10-11 13:43:47.834,False,True
91527986,0.00251520,1.07000000,0.00269126,2020-10-11 13:43:47.834,False,True
91527987,0.00251520,1.07000000,0.00269126,2020-10-11 13:43:47.834,False,True
91527988,0.00251520,10.06000000,0.02530291,2020-10-11 13:43:47.834,False,True
91527989,0.00251530,2.14000000,0.00538274,2020-10-11 13:43:57.456,False,True
91527990,0.00251540,1.58000000,0.00397433,2020-10-11 13:43:57.456,False,True
91527991,0.00251480,7.82000000,0.01966573,2020-10-11 13:44:04.331,False,True
91527992,0.00251480,1.01000000,0.00253994,2020-10-11 13:44:06.438,False,True
91527993,0.00251470,0.10000000,0.00025147,2020-10-11 13:44:07.124,True,True
91527994,0.00251470,0.70000000,0.00176029,2020-10-11 13:44:07.199,True,True
91527995,0.00251460,1.98000000,0.00497890,2020-10-11 13:44:07.199,True,True
91527996,0.00251480,0.06000000,0.00015088,2020-10-11 13:44:10.230,False,True
91527997,0.00251470,1.37000000,0.00344513,2020-10-11 13:44:12.196,True,True
91527998,0.00251460,0.05000000,0.00012573,2020-10-11 13:44:12.196,True,True
91527999,0.00251460,2.47000000,0.00621106,2020-10-11 13:44:17.192,True,True
91528000,0.00251460,2.77000000,0.00696544,2020-10-11 13:44:22.193,True,True
91528001,0.00251460,0.17000000,0.00042748,2020-10-11 13:44:25.360,True,True
91528002,0.00251460,1.84000000,0.00462686,2020-10-11 13:44:27.195,True,True
91528003,0.00251480,6.94000000,0.01745271,2020-10-11 13:44:28.587,False,True
91528004,0.00251490,2.42000000,0.00608605,2020-10-11 13:44:29.822,True,True
91528005,0.00251480,2.23000000,0.00560800,2020-10-11 13:44:29.822,True,True
91528006,0.00251530,0.05000000,0.00012576,2020-10-11 13:44:32.931,False,True
91528007,0.00251510,0.06000000,0.00015090,2020-10-11 13:44:37.731,False,True
91528008,0.00251540,2.48000000,0.00623819,2020-10-11 13:44:37.731,False,True
91528009,0.00251550,0.51000000,0.00128290,2020-10-11 13:44:37.731,False,True
91528010,0.00251550,2.30000000,0.00578565,2020-10-11 13:44:37.731,False,True
91528011,0.00251550,1.00000000,0.00251550,2020-10-11 13:44:37.731,False,True
91528012,0.00251550,0.19000000,0.00047794,2020-10-11 13:44:37.731,False,True
91528013,0.00251550,0.11000000,0.00027670,2020-10-11 13:44:37.731,False,True
91528014,0.00251560,0.13000000,0.00032702,2020-10-11 13:44:37.731,False,True
91528015,0.00251560,0.94000000,0.00236466,2020-10-11 13:44:37.731,False,True
91528016,0.00251560,0.05000000,0.00012578,2020-10-11 13:44:37.731,False,True
91528017,0.00251560,22.75000000,0.05722990,2020-10-11 13:44:37.731,False,True
91528018,0.00251560,5.13000000,0.01290502,2020-10-11 13:44:37.731,False,True
91528019,0.00251560,0.21000000,0.00052827,2020-10-11 13:44:37.731,False,True
91528020,0.00251560,0.59000000,0.00148420,2020-10-11 13:44:37.731,False,True
91528021,0.00251560,0.05000000,0.00012578,2020-10-11 13:44:37.731,False,True
91528022,0.00251560,0.13000000,0.00032702,2020-10-11 13:44:37.731,False,True
91528023,0.00251560,16.00000000,0.04024960,2020-10-11 13:44:37.731,False,True
91528024,0.00251560,2.22000000,0.00558463,2020-10-11 13:44:37.731,False,True
91528025,0.00251570,2.57000000,0.00646534,2020-10-11 13:44:37.731,False,True
91528026,0.00251570,0.65000000,0.00163520,2020-10-11 13:44:37.731,False,True
91528027,0.00251570,116.93000000,0.29416080,2020-10-11 13:44:37.731,False,True
91528028,0.00251570,0.19000000,0.00047798,2020-10-11 13:44:38.229,False,True
91528029,0.00251530,0.30000000,0.00075459,2020-10-11 13:44:40.676,True,True
91528030,0.00251570,0.50000000,0.00125785,2020-10-11 13:44:41.354,False,True
91528031,0.00251510,0.07000000,0.00017605,2020-10-11 13:44:42.337,True,True
91528032,0.00251510,0.41000000,0.00103119,2020-10-11 13:44:42.686,True,True
91528033,0.00251570,80.89000000,0.20349497,2020-10-11 13:44:49.299,False,True
91528034,0.00251530,0.06000000,0.00015091,2020-10-11 13:44:59.521,True,True
91528035,0.00251570,49.00000000,0.12326930,2020-10-11 13:45:00.038,False,True
91528036,0.00251540,0.75000000,0.00188655,2020-10-11 13:45:00.544,True,True
91528037,0.00251540,1.58000000,0.00397433,2020-10-11 13:45:00.544,True,True
91528038,0.00251530,3.61000000,0.00908023,2020-10-11 13:45:00.601,True,True
91528039,0.00251530,9.39000000,0.02361866,2020-10-11 13:45:00.614,True,True
91528040,0.00251530,1.80000000,0.00452754,2020-10-11 13:45:07.207,True,True
91528041,0.00251530,1.13000000,0.00284228,2020-10-11 13:45:12.203,True,True
91528042,0.00251530,2.02000000,0.00508090,2020-10-11 13:45:17.205,True,True
91528043,0.00251530,0.89000000,0.00223861,2020-10-11 13:45:22.054,True,True
91528044,0.00251530,2.24000000,0.00563427,2020-10-11 13:45:22.054,True,True
91528045,0.00251530,1.47000000,0.00369749,2020-10-11 13:45:22.205,True,True
91528046,0.00251540,0.08000000,0.00020123,2020-10-11 13:45:26.740,False,True
91528047,0.00251540,1.51000000,0.00379825,2020-10-11 13:45:31.434,True,True
91528048,0.00251550,6.40000000,0.01609920,2020-10-11 13:45:35.830,False,True
91528049,0.00251550,1.91000000,0.00480460,2020-10-11 13:45:35.830,False,True
91528050,0.00251550,1.69000000,0.00425119,2020-10-11 13:45:37.711,True,True
91528051,0.00251510,0.06000000,0.00015090,2020-10-11 13:45:39.043,True,True
91528052,0.00251510,9.44000000,0.02374254,2020-10-11 13:45:39.043,True,True
91528053,0.00251550,0.13000000,0.00032701,2020-10-11 13:45:41.913,False,True
91528054,0.00251510,2.63000000,0.00661471,2020-10-11 13:45:43.140,True,True
91528055,0.00251500,5.14000000,0.01292710,2020-10-11 13:45:43.140,True,True
91528056,0.00251500,2.55000000,0.00641325,2020-10-11 13:45:52.209,True,True
91528057,0.00251500,1.78000000,0.00447670,2020-10-11 13:45:57.210,True,True
91528058,0.00251510,4.00000000,0.01006040,2020-10-11 13:46:02.104,True,True
91528059,0.00251500,0.53000000,0.00133295,2020-10-11 13:46:02.104,True,True
91528060,0.00251500,9.78000000,0.02459670,2020-10-11 13:46:02.104,True,True
91528061,0.00251490,1.60000000,0.00402384,2020-10-11 13:46:02.209,True,True
91528062,0.00251500,0.04000000,0.00010060,2020-10-11 13:46:05.172,True,True
91528063,0.00251490,8.40000000,0.02112516,2020-10-11 13:46:05.172,True,True
91528064,0.00251480,5.87000000,0.01476187,2020-10-11 13:46:05.172,True,True
91528065,0.00251480,1.04000000,0.00261539,2020-10-11 13:46:08.810,True,True
91528066,0.00251480,0.24000000,0.00060355,2020-10-11 13:46:08.810,True,True
91528067,0.00251460,2.28000000,0.00573328,2020-10-11 13:46:08.810,True,True
91528068,0.00251450,17.59000000,0.04423005,2020-10-11 13:46:08.810,True,True
91528069,0.00251470,1.57000000,0.00394807,2020-10-11 13:46:12.366,True,True
91528070,0.00251450,18.43000000,0.04634223,2020-10-11 13:46:12.366,True,True
91528071,0.00251450,2.04000000,0.00512958,2020-10-11 13:46:23.093,True,True
91528072,0.00251450,0.52000000,0.00130754,2020-10-11 13:46:23.093,True,True
91528073,0.00251440,100.00000000,0.25144000,2020-10-11 13:46:23.337,True,True
91528074,0.00251440,1.82000000,0.00457620,2020-10-11 13:46:23.441,True,True
91528075,0.00251430,98.11000000,0.24667797,2020-10-11 13:46:23.441,True,True
91528076,0.00251430,74.34000000,0.18691306,2020-10-11 13:46:23.450,True,True
91528077,0.00251430,11.20000000,0.02816016,2020-10-11 13:46:23.450,True,True
91528078,0.00251430,1.05000000,0.00264001,2020-10-11 13:46:23.450,True,True
91528079,0.00251430,10.39000000,0.02612357,2020-10-11 13:46:23.462,False,True
91528080,0.00251430,2.24000000,0.00563203,2020-10-11 13:46:23.468,False,True
91528081,0.00251430,5.53000000,0.01390407,2020-10-11 13:46:23.534,False,True
91528082,0.00251430,1.89000000,0.00475202,2020-10-11 13:46:23.570,False,True
91528083,0.00251430,0.80000000,0.00201144,2020-10-11 13:46:24.408,False,True
91528084,0.00251430,0.99000000,0.00248915,2020-10-11 13:46:24.829,False,True
91528085,0.00251400,2.00000000,0.00502800,2020-10-11 13:46:31.055,True,True
91528086,0.00251400,2.00000000,0.00502800,2020-10-11 13:46:33.055,True,True
91528087,0.00251400,2.00000000,0.00502800,2020-10-11 13:46:34.059,True,True
91528088,0.00251410,10.17000000,0.02556839,2020-10-11 13:47:08.344,True,True
91528089,0.00251400,1.11000000,0.00279054,2020-10-11 13:47:08.344,True,True
91528090,0.00251450,0.15000000,0.00037717,2020-10-11 13:47:14.903,False,True
91528091,0.00251450,2.71000000,0.00681429,2020-10-11 13:47:22.225,True,True
91528092,0.00251450,0.48000000,0.00120696,2020-10-11 13:47:23.718,True,True
91528093,0.00251460,0.10000000,0.00025146,2020-10-11 13:47:26.223,False,True
91528094,0.00251530,2.31000000,0.00581034,2020-10-11 13:47:26.223,False,True
91528095,0.00251460,7.81000000,0.01963902,2020-10-11 13:47:30.768,True,True
91528096,0.00251460,2.19000000,0.00550697,2020-10-11 13:47:30.834,True,True
91528097,0.00251420,2.05000000,0.00515411,2020-10-11 13:47:33.018,True,True
91528098,0.00251420,1.61000000,0.00404786,2020-10-11 13:47:33.695,True,True
91528099,0.00251400,3.35000000,0.00842190,2020-10-11 13:47:33.695,True,True
91528100,0.00251400,0.37000000,0.00093018,2020-10-11 13:47:33.695,True,True
91528101,0.00251470,0.27000000,0.00067896,2020-10-11 13:47:42.157,False,True
91528102,0.00251460,0.14000000,0.00035204,2020-10-11 13:47:43.698,False,True
91528103,0.00251460,1.07000000,0.00269062,2020-10-11 13:47:55.391,False,True
91528104,0.00251460,1.07000000,0.00269062,2020-10-11 13:47:55.391,False,True
91528105,0.00251460,2.85000000,0.00716661,2020-10-11 13:47:55.391,False,True
91528106,0.00251440,1.20000000,0.00301728,2020-10-11 13:47:57.230,True,True
91528107,0.00251430,0.23000000,0.00057828,2020-10-11 13:47:57.230,True,True
91528108,0.00251430,2.50000000,0.00628575,2020-10-11 13:48:05.234,True,True
91528109,0.00251430,3.54000000,0.00890062,2020-10-11 13:48:05.707,True,True
91528110,0.00251470,0.27000000,0.00067896,2020-10-11 13:48:06.226,False,True
91528111,0.00251460,0.26000000,0.00065379,2020-10-11 13:48:08.231,False,True
91528112,0.00251460,0.26000000,0.00065379,2020-10-11 13:48:09.226,False,True
91528113,0.00251440,2.06000000,0.00517966,2020-10-11 13:48:15.961,True,True
91528114,0.00251470,0.19000000,0.00047779,2020-10-11 13:48:22.352,False,True
91528115,0.00251470,0.10000000,0.00025147,2020-10-11 13:48:28.711,False,True
91528116,0.00251490,1.64000000,0.00412443,2020-10-11 13:48:34.697,False,True
91528117,0.00251570,0.13000000,0.00032704,2020-10-11 13:48:36.094,False,True
91528118,0.00251490,1.64000000,0.00412443,2020-10-11 13:48:43.887,True,True
91528119,0.00251490,0.65000000,0.00163468,2020-10-11 13:48:43.904,True,True
91528120,0.00251420,11.20000000,0.02815904,2020-10-11 13:48:44.015,True,True
91528121,0.00251400,11.26000000,0.02830764,2020-10-11 13:48:44.120,True,True
91528122,0.00251400,1.92000000,0.00482688,2020-10-11 13:48:44.120,True,True
91528123,0.00251390,2.20000000,0.00553058,2020-10-11 13:48:46.099,False,True
91528124,0.00251420,2.04000000,0.00512896,2020-10-11 13:48:54.907,False,True
91528125,0.00251420,0.16000000,0.00040227,2020-10-11 13:48:55.337,False,True
91528126,0.00251410,1.72000000,0.00432425,2020-10-11 13:49:01.737,False,True
91528127,0.00251420,2.39000000,0.00600893,2020-10-11 13:49:01.755,False,True
91528128,0.00251430,1.64000000,0.00412345,2020-10-11 13:49:07.243,False,True
91528129,0.00251430,0.24000000,0.00060343,2020-10-11 13:49:13.759,False,True
91528130,0.00251430,0.52000000,0.00130743,2020-10-11 13:49:18.686,False,True
91528131,0.00251350,0.04000000,0.00010054,2020-10-11 13:49:22.003,True,True
91528132,0.00251350,1.71000000,0.00429808,2020-10-11 13:49:22.003,True,True
91528133,0.00251350,0.86000000,0.00216161,2020-10-11 13:49:24.624,True,True
91528134,0.00251340,10.52000000,0.02644096,2020-10-11 13:49:24.624,True,True
91528135,0.00251340,2.28000000,0.00573055,2020-10-11 13:49:27.242,True,True
91528136,0.00251360,3.90000000,0.00980304,2020-10-11 13:49:29.541,False,True
91528137,0.00251340,2.20000000,0.00552948,2020-10-11 13:49:33.894,True,True
91528138,0.00251340,0.32000000,0.00080428,2020-10-11 13:49:34.150,False,True
91528139,0.00251360,1.00000000,0.00251360,2020-10-11 13:49:52.245,True,True
91528140,0.00251360,0.66000000,0.00165897,2020-10-11 13:49:52.245,True,True
91528141,0.00251360,0.14000000,0.00035190,2020-10-11 13:49:52.245,True,True
91528142,0.00251370,0.66000000,0.00165904,2020-10-11 13:49:52.431,False,True
91528143,0.00251360,5.00000000,0.01256800,2020-10-11 13:49:53.385,True,True
91528144,0.00251360,3.75000000,0.00942600,2020-10-11 13:49:53.402,True,True
91528145,0.00251360,2.39000000,0.00600750,2020-10-11 13:49:53.448,True,True
91528146,0.00251360,1.95000000,0.00490152,2020-10-11 13:49:53.453,True,True
91528147,0.00251360,0.66000000,0.00165897,2020-10-11 13:49:53.453,True,True
91528148,0.00251370,4.28000000,0.01075863,2020-10-11 13:49:53.659,False,True
91528149,0.00251390,2.29000000,0.00575683,2020-10-11 13:49:53.659,False,True
91528150,0.00251460,4.99000000,0.01254785,2020-10-11 13:49:53.659,False,True
91528151,0.00251470,1.68000000,0.00422469,2020-10-11 13:49:53.659,False,True
91528152,0.00251380,2.40000000,0.00603312,2020-10-11 13:49:56.654,False,True
91528153,0.00251390,1.52000000,0.00382112,2020-10-11 13:49:56.654,False,True
91528154,0.00251470,9.31000000,0.02341185,2020-10-11 13:49:56.654,False,True
91528155,0.00251360,2.31000000,0.00580641,2020-10-11 13:50:03.025,False,True
91528156,0.00251390,0.05000000,0.00012569,2020-10-11 13:50:13.630,True,True
91528157,0.00251480,6.10000000,0.01534028,2020-10-11 13:50:15.228,False,True
91528158,0.00251460,1.00000000,0.00251460,2020-10-11 13:50:16.750,True,True
91528159,0.00251480,0.24000000,0.00060355,2020-10-11 13:50:17.166,False,True
91528160,0.00251420,1.83000000,0.00460098,2020-10-11 13:50:20.416,True,True
91528161,0.00251420,2.33000000,0.00585808,2020-10-11 13:50:23.755,False,True
91528162,0.00251420,0.01000000,0.00002514,2020-10-11 13:50:23.770,False,True
91528163,0.00251490,13.88000000,0.03490681,2020-10-11 13:50:26.753,False,True
91528164,0.00251470,0.06000000,0.00015088,2020-10-11 13:50:27.653,False,True
91528165,0.00251490,0.18000000,0.00045268,2020-10-11 13:50:27.653,False,True
91528166,0.00251490,13.88000000,0.03490681,2020-10-11 13:50:29.871,False,True
91528167,0.00251470,0.86000000,0.00216264,2020-10-11 13:50:38.875,True,True
91528168,0.00251390,0.65000000,0.00163403,2020-10-11 13:50:40.534,True,True
91528169,0.00251380,1.52000000,0.00382097,2020-10-11 13:50:43.180,True,True
91528170,0.00251380,0.54000000,0.00135745,2020-10-11 13:50:44.133,True,True
91528171,0.00251320,0.18000000,0.00045237,2020-10-11 13:50:45.468,False,True
91528172,0.00251250,2.49000000,0.00625612,2020-10-11 13:50:46.899,True,True
91528173,0.00251180,7.54000000,0.01893897,2020-10-11 13:50:46.899,True,True
91528174,0.00251170,95.78000000,0.24057062,2020-10-11 13:50:46.899,True,True
91528175,0.00251200,1.50000000,0.00376800,2020-10-11 13:50:51.827,True,True
91528176,0.00251190,9.63000000,0.02418959,2020-10-11 13:50:51.827,True,True
91528177,0.00251300,0.29000000,0.00072877,2020-10-11 13:50:53.679,False,True
91528178,0.00251200,0.50000000,0.00125600,2020-10-11 13:50:57.978,True,True
91528179,0.00251200,7.12000000,0.01788544,2020-10-11 13:51:02.478,True,True
91528180,0.00251240,1.00000000,0.00251240,2020-10-11 13:51:14.315,False,True
91528181,0.00251220,1.00000000,0.00251220,2020-10-11 13:51:32.251,False,True
91528182,0.00251190,2.87000000,0.00720915,2020-10-11 13:51:34.498,True,True
91528183,0.00251220,0.04000000,0.00010048,2020-10-11 13:51:38.906,False,True
91528184,0.00251270,2.37000000,0.00595509,2020-10-11 13:51:42.959,True,True
91528185,0.00251250,1.53000000,0.00384412,2020-10-11 13:51:46.205,False,True
91528186,0.00251260,0.09000000,0.00022613,2020-10-11 13:51:46.332,False,True
91528187,0.00251280,0.12000000,0.00030153,2020-10-11 13:52:07.041,True,True
91528188,0.00251280,0.91000000,0.00228664,2020-10-11 13:52:07.041,True,True
91528189,0.00251300,1.46000000,0.00366898,2020-10-11 13:52:12.269,True,True
91528190,0.00251300,0.05000000,0.00012565,2020-10-11 13:52:12.656,True,True
91528191,0.00251290,2.51000000,0.00630737,2020-10-11 13:52:19.159,True,True
91528192,0.00251320,0.19000000,0.00047750,2020-10-11 13:52:35.413,False,True
91528193,0.00251320,2.73000000,0.00686103,2020-10-11 13:52:35.896,False,True
91528194,0.00251320,0.80000000,0.00201056,2020-10-11 13:52:35.896,False,True
91528195,0.00251400,2.57000000,0.00646098,2020-10-11 13:52:44.263,False,True
91528196,0.00251410,1.94000000,0.00487735,2020-10-11 13:52:44.263,False,True
91528197,0.00251430,5.65000000,0.01420579,2020-10-11 13:52:44.275,True,True
91528198,0.00251430,39.84000000,0.10016971,2020-10-11 13:52:44.349,True,True
91528199,0.00251400,1.56000000,0.00392184,2020-10-11 13:52:52.185,False,True
91528200,0.00251380,1.42000000,0.00356959,2020-10-11 13:52:53.659,False,True
91528201,0.00251370,2.28000000,0.00573123,2020-10-11 13:52:57.356,False,True
91528202,0.00251370,1.63000000,0.00409733,2020-10-11 13:52:57.356,False,True
91528203,0.00251390,2.01000000,0.00505293,2020-10-11 13:53:02.273,True,True
91528204,0.00251390,1.89000000,0.00475127,2020-10-11 13:53:07.275,True,True
91528205,0.00251400,1.63000000,0.00409782,2020-10-11 13:53:09.294,False,True
